file name,Timezone (UTC),GameID,aliases,Alt,Masked Troupe name,Path - main,Path - secondary,Path - Former,Role,Sect,Sect - Former,Guild Role,GVG Team,GVG Role,GVG Title,Cohort,Cohort Rank,Master,Disciple Rank,Disciple,Partner,Partner - Former,External,Ext Description,img,cover,WWM Player
avenuex 顾明,UTC-6,1023383798,"顾明, AvenueX",,,Silkbind - Deluge,,Silkbind - Jade,Leader,Raging Tides,"Well of Heaven, Masked Troupe",Leader,[[_Defence]],Healer,Leader,[[_Dramallama Cohort]],Elder,,,"[[cai cai 采采卷耳]], [[weiyun 组玮芸]], [[slightlyspinner]]",[[cai cai 采采卷耳]],,"https://www.youtube.com/@AvenueX123, https://www.youtube.com/@avenuextra","Leaders Drama channel and eXtra channel of her non-drama channel like games, crafts etc",[[avenuex.png]],![[avenuex.png]],true
baoyu 宝玉,UTC+1,2034024007,Baoyu,[[媚璇Meixuan]],,Bellstrike - Splendor,,,DPS,Raging Tides,"Well of Heaven, Silver Needle","Commander, Builder",[[_Jungle]],DPS,Scheming Jester,[[_Dramallama Cohort]],8th Elder brother,[[gnsyiliuba]],Second Disciple,,[[hekapider]],,,,[[baoyu.png]],![[baoyu.png]],true
beef 牛雨瀮,UTC-5,1083606416,beef,[[牛雨冷]],,Stonesplit – Might,Stonesplit - Strength,,Tank,Midnight Blades,"Well of Heaven, Raging Tides, Velvet Shade, Masked Troupe",,[[_Attack]],Tank,,[[_Enchanted Cohort]],Ninth Brother,,,[[看戏的朱陌]],,,,,[[beef.jpg]],![[beef.jpg]],true
cai cai 采采卷耳,,,,,,,,,,,,,[[_Attack]],DPS,,,,,,,,,,,[[caicai.jpg]],![[caicai.jpg]],true
dajhi,UTC-3,1049704837,,,,Bellstrike - Umbra,,,DPS,Velvet Shade,Velvet Shade,Member,[[_Defence]],DPS,,[[_Not Lonely Cohort]],,,,,,,,,[[luanadajhi.png]],![[luanadajhi.png]],true
dongfunbubai,UTC+5,1078411910,"DFBB, DongFanBuBai",,,Bellstrike - Splendor,,Bellstrike - Umbra,DPS,Well of Heaven,"Silver Needle, Velvet Shade, Nine Mortal Ways",Commander,[[_Jungle]],DPS,"Commander, Jungle Ruler, Half-Time Performer",[[_Enchanted Cohort]],8th younger,[[gns]],3rd Discple,None,None,,,,[[guild.png]],,true
ErBaiShi,,,,,,,,"Bamboocut - Dust, Bamboocut - Wind, Bellstrike - Splendor, Bellstrike - Umbra, Silkbind - Deluge, Silkbind - Jade, Stonesplit - Might, Stonesplit - Strength",,,"Well of Heaven, Silver Needle, Raging Tides, Midnight Blades, Nine Mortal Ways, Velvet Shade, Lone Cloud, Masked Troupe, Mohist Hill, Hollow Vale, Inkbound Order",,,,,,,,,,,,,,[[guild.png]],,true
faeonix,UTC-7,1029845419,"Fae, Empress, Queen",[[Faevyrn]],,Bellstrike - Umbra,Silkbind - Deluge,,DPS,Sectless,,Member,[[_Attack]],Healer,,[[_Dramallama Cohort]],Third sister,[[gnsyiliuba]],Fourth Disciple,[[Faevyrn]],[[Faevyrn]],,https://youtube.com/playlist?list=PLEnNFGdlN8hNH9AVnNdDBiWh_alNhF_AA&si=qYjCbBiYfkAjhhOL,,[[faeonix.png]],![[faeonix.png]],true
Faevyrn,,,,,,,,"Bamboocut - Dust, Bamboocut - Wind, Bellstrike - Splendor, Bellstrike - Umbra, Silkbind - Deluge, Silkbind - Jade, Stonesplit - Might, Stonesplit - Strength",,,"Well of Heaven, Silver Needle, Raging Tides, Midnight Blades, Nine Mortal Ways, Velvet Shade, Lone Cloud, Masked Troupe, Mohist Hill, Hollow Vale, Inkbound Order",,,,,,,,,,,,,,[[guild.png]],,true
gleefulboidae,UTC-7,1017819297,SenoraQu,,SenoraQu,Stonesplit - Strength,,,,Masked Troupe,,member,[[_Defence]],DPS,,[[_Not Lonely Cohort]],Fifth Younger Sister,[[lonerexlapis]],,,,,,,[[gns.png]],![[gns.png]],true
gns,UTC-4,1045666560,易留疤,[[gnsyiliuba]],易留疤,Stonesplit - Strength,Stonesplit - Might,,DPS,Nine Mortal Ways,"Silver Needle, Midnight Blades, Masked Troupe, Raging Tides",Vice Master,[[_Attack]],Tank,,[[_Enchanted Cohort]],Great Elder Sister,,,"[[gnsyiliuba]], [[hekapider]], [[dongfunbubai]]",[[gnsyiliuba]],,"https://gns168.github.io/wwm168, https://drive.google.com/drive/folders/1Sc6CyD5s4IBd6f3wq7ReoGLV3wY8SBEH?usp=sharing","Google drive containing guild member profiles, team rosters and offline webpage of guild",[[gns.png]],![[gns2.png]],true
gnsyiliuba,UTC-4,1015699037,168,[[gns]],,Bamboocut - Dust,Silkbind - Deluge,Silkbind - Jade,DPS,Midnight Blades,"Velvet Shade, Well of Heaven, Nine Mortal Ways",,[[_Defence]],Healer,,[[_Dramallama Cohort]],Second younger sister,[[gns]],Eldest Disciple,"[[wuchaang]], [[baoyu 宝玉]], [[nhatthao]], [[faeonix]]",[[gns]],[[tierce]],"https://www.youtube.com/@gns16888, https://youtube.com/playlist?list=PLgAOae7PKAlSOyiS2e1UPsx1wZ-hEohsN&si=dryy24xISxaqnRaa, https://youtube.com/playlist?list=PLgAOae7PKAlR_VcplaN84-ntjZxtfjZe7&si=5ZhSB9X2iSmWi9Hs, https://www.youtube.com/playlist?list=PLgAOae7PKAlT4olR7vtSbfudEHWfODb_s","Unlisted playlist of fightclub and heka martial marital tourney.
Public playlist of fightclub founders and gns/168 play attemps",[[gnsyiliuba.png]],![[gnsyiliuba2.png]],true
gongshangjue,UTC+2,2056718470,GongShangjue,,RedTurtle,Bellstrike - Splendor,Stonesplit - Strength,,DPS,Sectless,"Well of Heaven, Raging Tides, Masked Troupe",member,[[_Jungle]],DPS,,[[_Dramallama Cohort]],9th Younger Brother,[[weiyun 组玮芸]],First Disciple,,,,,,[[gong.png]],![[gong.png]],true
Gottasay (Triad Master),,,,,,,,"Bamboocut - Dust, Bamboocut - Wind, Bellstrike - Splendor, Bellstrike - Umbra, Silkbind - Deluge, Silkbind - Jade, Stonesplit - Might, Stonesplit - Strength",,,"Well of Heaven, Silver Needle, Raging Tides, Midnight Blades, Nine Mortal Ways, Velvet Shade, Lone Cloud, Masked Troupe, Mohist Hill, Hollow Vale, Inkbound Order",,,,,,,,,,,,,,[[guild.png]],,true
